StatCode,MsCode,year,Estimate,SE,LowerCIB,UpperCIB,Flag
Q1,M001,2024,11222,524,10698,11746, 
Q2,M001,2024,27813,140,27674,27953, 
Q3,M001,2024,40326,181,40145,40507, 
Q4,M001,2024,55667,202,55465,55869, 
Q5,M001,2024,102301,1876,100425,104177, 
Q6,M001,2024,47481,671,46810,48152, 
Q1,M001,2023,9894,958,8936,10852, 
Q2,M001,2023,26224,166,26058,26390, 
Q3,M001,2023,38495,166,38329,38661, 
Q4,M001,2023,53230,270,52960,53500, 
Q5,M001,2023,98640,2761,95879,101401, 
Q6,M001,2023,45304,720,44584,46023, 
Q1,M003,2024,1328,1109,218,2437, 
Q2,M003,2024,1589,239,1350,1828, 
Q3,M003,2024,1831,235,1595,2066, 
Q4,M003,2024,2437,333,2105,2770, 
Q5,M003,2024,3660,3436,224,7097, 
Q6,M003,2024,2177,947,1230,3124, 
Q1,M002,2024,15505,396,15109,15901, 
Q2,M002,2024,27656,321,27334,27977, 
Q3,M002,2024,40249,300,39948,40549, 
Q4,M002,2024,55362,380,54982,55742, 
Q5,M002,2024,85211,1238,83973,86449, 
Q6,M002,2024,40288,585,39703,40873, 
Q1,M002,2023,14762,446,14316,15208, 
Q2,M002,2023,26083,343,25741,26426, 
Q3,M002,2023,38310,282,38028,38592, 
Q4,M002,2023,52704,453,52251,53156, 
Q5,M002,2023,81634,1568,80065,83202, 
Q6,M002,2023,38272,646,37626,38918, 
Q1,M004,2024,744,596,147,1340, 
Q2,M004,2024,1572,470,1102,2042, 
Q3,M004,2024,1939,412,1527,2351, 
Q4,M004,2024,2658,591,2067,3249, 
Q5,M004,2024,3577,1998,1579,5575, 
Q6,M004,2024,2016,872,1144,2888, 
P1,M005,2024,15490,459,15032,15949, 
P2,M005,2024,22178,349,21828,22527, 
P3,M005,2024,27667,550,27117,28216, 
P4,M005,2024,33925,556,33369,34481, 
P5,M005,2024,40288,585,39703,40873, 
P6,M005,2024,47127,639,46487,47766, 
P7,M005,2024,55380,768,54612,56148, 
P8,M005,2024,65701,891,64810,66591, 
P9,M005,2024,85238,1611,83627,86849, 
P1,M005,2023,14790,603,14187,15393, 
P2,M005,2023,21039,358,20682,21397, 
P3,M005,2023,26123,524,25598,26647, 
P4,M005,2023,32313,624,31689,32937, 
P5,M005,2023,38272,646,37626,38918, 
P6,M005,2023,44978,733,44246,45711, 
P7,M005,2023,52684,860,51824,53545, 
P8,M005,2023,63703,1168,62535,64871, 
P9,M005,2023,81634,2087,79547,83721, 
P1,M006,2024,701,98,603,799, 
P2,M006,2024,1138,55,1083,1194, 
P3,M006,2024,1544,93,1450,1637, 
P4,M006,2024,1612,89,1523,1700, 
P5,M006,2024,2016,76,1940,2092, 
P6,M006,2024,2148,67,2081,2216, 
P7,M006,2024,2696,109,2587,2804, 
P8,M006,2024,1997,168,1830,2165, 
P9,M006,2024,3604,201,3403,3806, 
Q1,M007,2024,4.7,0.3,4.4,5, 
Q2,M007,2024,11.7,0.5,11.2,12.2, 
Q3,M007,2024,17,0.8,16.1,17.8, 
Q4,M007,2024,23.5,0.8,22.7,24.3, 
Q5,M007,2024,43.1,1.2,42,44.3, 
Q1,M007,2023,4.4,0.5,3.9,4.8, 
Q2,M007,2023,11.6,0.5,11.1,12.1, 
Q3,M007,2023,17.1,0.8,16.3,17.8, 
Q4,M007,2023,23.4,1,22.4,24.4, 
Q5,M007,2023,43.5,1.4,42.2,44.9, 
Q1,M008,2024,0.4,0.6,-0.2,0.9, 
Q2,M008,2024,0.1,0.7,-0.6,0.8, 
Q3,M008,2024,-0.1,1.2,-1.3,1.1, 
Q4,M008,2024,0.1,1.3,-1.2,1.4, 
Q5,M008,2024,-0.4,1.7,-2.1,1.3, 
R1,M009,2024,5.5,,,,NA
R2,M009,2024,3,,,,NA
R3,M009,2024,1.6,,,,NA
R4,M009,2024,0.6,,,,NA
R5,M009,2024,0.4,,,,NA
R1,M009,2023,5.5,,,,NA
R2,M009,2023,3,,,,NA
R3,M009,2023,1.7,,,,NA
R4,M009,2023,0.5,,,,NA
R5,M009,2023,0.4,,,,NA
G1,M010,2024,37.2,0.6,36.7,37.8, 
G1,M010,2023,37.6,0.8,36.8,38.4, 
G1,M011,2024,-0.3,1,-1.3,0.7, 
M1,M012,2024,88,0.7,87.4,88.7, 
M1,M012,2023,88.6,0.8,87.8,89.3, 
M1,M013,2024,-0.5,1.1,-1.6,0.5, 
